CV,Keyword,Keyword Frequency,Sentiment Score
CV 171,Leadership,4,0.47
CV 171,Innovation,1,0.48
CV 171,Teamwork,5,0.8
CV 171,Communication,3,0.77
CV 171,Problem Solving,8,0.68
CV 172,Leadership,4,0.78
CV 172,Innovation,8,0.49
CV 172,Teamwork,8,0.64
CV 172,Communication,10,0.41
CV 172,Problem Solving,6,0.88
CV 173,Leadership,7,0.95
CV 173,Innovation,7,0.87
CV 173,Teamwork,5,0.98
CV 173,Communication,5,0.91
CV 173,Problem Solving,9,0.84
CV 174,Leadership,1,0.66
CV 174,Innovation,6,0.78
CV 174,Teamwork,2,0.7
CV 174,Communication,1,0.78
CV 174,Problem Solving,4,0.42
CV 175,Leadership,9,0.48
CV 175,Innovation,6,0.99
CV 175,Teamwork,6,0.95
CV 175,Communication,6,0.7
CV 175,Problem Solving,6,0.71
CV 176,Leadership,5,0.43
CV 176,Innovation,8,0.53
CV 176,Teamwork,6,0.82
CV 176,Communication,4,0.56
CV 176,Problem Solving,7,0.99
CV 177,Leadership,1,0.92
CV 177,Innovation,9,0.56
CV 177,Teamwork,2,0.79
CV 177,Communication,7,0.77
CV 177,Problem Solving,4,0.76
CV 178,Leadership,4,0.99
CV 178,Innovation,4,0.81
CV 178,Teamwork,6,0.99
CV 178,Communication,10,0.76
CV 178,Problem Solving,9,0.98
CV 179,Leadership,2,0.91
CV 179,Innovation,10,0.43
CV 179,Teamwork,1,0.44
CV 179,Communication,4,0.83
CV 179,Problem Solving,1,0.59
CV 180,Leadership,7,0.77
CV 180,Innovation,7,0.5
CV 180,Teamwork,10,0.96
CV 180,Communication,9,0.86
CV 180,Problem Solving,4,0.55
CV 181,Leadership,10,0.51
CV 181,Innovation,2,0.51
CV 181,Teamwork,10,0.52
CV 181,Communication,1,0.49
CV 181,Problem Solving,5,0.82
CV 182,Leadership,4,0.43
CV 182,Innovation,9,0.63
CV 182,Teamwork,2,0.5
CV 182,Communication,9,0.94
CV 182,Problem Solving,10,0.5
CV 183,Leadership,10,0.75
CV 183,Innovation,2,0.46
CV 183,Teamwork,4,0.81
CV 183,Communication,3,0.78
CV 183,Problem Solving,9,0.79
CV 184,Leadership,3,0.67
CV 184,Innovation,3,0.84
CV 184,Teamwork,9,0.58
CV 184,Communication,5,0.64
CV 184,Problem Solving,7,0.54
CV 185,Leadership,6,0.58
CV 185,Innovation,7,0.68
CV 185,Teamwork,6,0.91
CV 185,Communication,7,0.75
CV 185,Problem Solving,6,0.64
CV 186,Leadership,4,0.74
CV 186,Innovation,9,0.74
CV 186,Teamwork,1,0.5
CV 186,Communication,7,0.7
CV 186,Problem Solving,4,0.43
CV 187,Leadership,10,0.6
CV 187,Innovation,10,0.87
CV 187,Teamwork,1,0.49
CV 187,Communication,6,0.67
CV 187,Problem Solving,8,0.69
CV 188,Leadership,1,0.79
CV 188,Innovation,2,0.95
CV 188,Teamwork,3,0.75
CV 188,Communication,1,0.89
CV 188,Problem Solving,7,0.82
CV 189,Leadership,10,0.71
CV 189,Innovation,7,0.55
CV 189,Teamwork,4,0.48
CV 189,Communication,10,0.74
CV 189,Problem Solving,1,0.82
CV 190,Leadership,6,0.98
CV 190,Innovation,7,0.78
CV 190,Teamwork,9,0.91
CV 190,Communication,4,0.94
CV 190,Problem Solving,7,0.81
CV 191,Leadership,10,0.86
CV 191,Innovation,3,0.96
CV 191,Teamwork,7,0.83
CV 191,Communication,8,0.45
CV 191,Problem Solving,1,0.85
CV 192,Leadership,8,0.84
CV 192,Innovation,1,0.55
CV 192,Teamwork,6,0.5
CV 192,Communication,1,0.45
CV 192,Problem Solving,5,0.68
CV 193,Leadership,10,0.84
CV 193,Innovation,6,0.9
CV 193,Teamwork,9,0.71
CV 193,Communication,6,0.79
CV 193,Problem Solving,6,0.43
CV 194,Leadership,3,0.49
CV 194,Innovation,6,0.87
CV 194,Teamwork,1,0.72
CV 194,Communication,5,0.82
CV 194,Problem Solving,4,0.91
CV 195,Leadership,9,0.76
CV 195,Innovation,10,0.62
CV 195,Teamwork,5,0.98
CV 195,Communication,9,0.94
CV 195,Problem Solving,6,0.43
CV 196,Leadership,1,0.68
CV 196,Innovation,1,0.47
CV 196,Teamwork,8,0.9
CV 196,Communication,3,0.69
CV 196,Problem Solving,1,0.45
CV 197,Leadership,7,0.7
CV 197,Innovation,10,0.68
CV 197,Teamwork,6,0.92
CV 197,Communication,3,0.88
CV 197,Problem Solving,8,0.86
CV 198,Leadership,3,0.91
CV 198,Innovation,10,0.99
CV 198,Teamwork,3,0.87
CV 198,Communication,1,0.94
CV 198,Problem Solving,8,0.65
CV 199,Leadership,3,0.52
CV 199,Innovation,5,0.58
CV 199,Teamwork,6,0.53
CV 199,Communication,3,0.86
CV 199,Problem Solving,8,0.7
CV 200,Leadership,6,0.89
CV 200,Innovation,10,0.88
CV 200,Teamwork,5,0.45
CV 200,Communication,9,0.96
CV 200,Problem Solving,8,0.79
